"VMailMessage","DayMins","EveMins","NightMins","IntlMins","CustServCalls","DayCalls","DayCharge","EveCalls","EveCharge","NightCalls","NightCharge","IntlCalls","IntlCharge","AreaCode","Phone","AccountLength","Churn","IntlPlan","VMailPlan","State"
0,245.800,286.700,240.700,9.000,1,116,41.790,91,24.370,115,10.830,13,2.430,"415","378-1936",145,"1",0,0,"ND"
0,83.200,190.600,150.500,10.700,1,74,14.140,104,16.200,79,6.770,7,2.890,"408","338-8566",141,"0",0,0,"AK"
31,185.400,197.600,147.100,14.500,2,105,31.520,126,16.800,110,6.620,4,3.920,"415","337-9878",103,"0",0,1,"AR"
0,99.700,145.100,149.400,14.100,2,107,16.950,96,12.330,99,6.720,4,3.810,"510","380-5102",115,"0",0,0,"KY"
0,273.300,263.600,165.200,12.000,1,66,46.460,121,22.410,84,7.430,7,3.240,"415","400-7002",76,"1",1,0,"MD"
0,164.200,155.400,168.900,10.700,1,109,27.910,90,13.210,117,7.600,8,2.890,"415","356-7217",104,"0",0,0,"NM"
0,221.300,157.800,192.500,11.300,1,140,37.620,89,13.410,89,8.660,6,3.050,"510","383-2017",139,"0",0,0,"NH"
0,211.300,162.600,134.700,13.200,3,120,35.920,122,13.820,118,6.060,5,3.560,"415","363-5450",65,"0",0,0,"MI"
0,179.100,190.600,127.700,10.600,3,71,30.450,81,16.200,91,5.750,7,2.860,"415","387-6103",90,"0",0,0,"AZ"
0,212.000,31.200,293.300,12.600,3,121,36.040,115,2.650,78,13.200,10,3.400,"408","383-1121",172,"0",0,0,"LA"
0,243.800,83.900,179.800,13.700,2,98,41.450,72,7.130,84,8.090,8,3.700,"415","344-3388",122,"0",0,0,"IN"
0,194.200,249.400,254.900,12.900,1,106,33.010,105,21.200,129,11.470,1,3.480,"510","329-2786",161,"1",1,0,"UT"
0,209.100,106.100,179.600,14.000,0,127,35.550,80,9.020,90,8.080,6,3.780,"415","350-9228",143,"0",0,0,"NV"
